Record	Type	Sample Name	Measurement Date and Time	T	Z-Ave	PdI	Pk 1 Mean Int	Pk 2 Mean Int	Pk 3 Mean Int	Pk 1 Area Int	Pk 2 Area Int	Pk 3 Area Int	Size Peak	Size Peak	Size Peak	Intensities	Sizes
 		 	 	Â°C	d.nm	 	d.nm	d.nm	d.nm	Percent	Percent	Percent	d.nm	d.nm	d.nm	Percent	d.nm
1	Size	DOPC 5EX 1mg'ml 01 04 25 1	01 April 2025 13:54:07	25.0	1056	0.687	768.4	0.000	0.000	100.0	0.0	0.0	101.7	0.000	0.000	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 15.1 37.0 34.9 12.9 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	0.4000 0.4632 0.5365 0.6213 0.7195 0.8332 0.9649 1.117 1.294 1.499 1.736 2.010 2.328 2.696 3.122 3.615 4.187 4.849 5.615 6.503 7.531 8.721 10.10 11.70 13.54 15.69 18.17 21.04 24.36 28.21 32.67 37.84 43.82 50.75 58.77 68.06 78.82 91.28 105.7 122.4 141.8 164.2 190.1 220.2 255.0 295.3 342.0 396.1 458.7 531.2 615.1 712.4 825.0 955.4 1106 1281 1484 1718 1990 2305 2669 3091 3580 4145 4801 5560 6439 7456 8635 1.000e4
2	Size	DOPC 5EX 1mg'ml 01 04 25 2	01 April 2025 13:56:40	25.0	1231	1.000	836.6	0.000	0.000	100.0	0.0	0.0	99.83	0.000	0.000	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.5 42.8 27.2 2.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	0.4000 0.4632 0.5365 0.6213 0.7195 0.8332 0.9649 1.117 1.294 1.499 1.736 2.010 2.328 2.696 3.122 3.615 4.187 4.849 5.615 6.503 7.531 8.721 10.10 11.70 13.54 15.69 18.17 21.04 24.36 28.21 32.67 37.84 43.82 50.75 58.77 68.06 78.82 91.28 105.7 122.4 141.8 164.2 190.1 220.2 255.0 295.3 342.0 396.1 458.7 531.2 615.1 712.4 825.0 955.4 1106 1281 1484 1718 1990 2305 2669 3091 3580 4145 4801 5560 6439 7456 8635 1.000e4
3	Size	DOPC 5EX 1mg'ml 01 04 25 3	01 April 2025 13:59:13	25.0	1114	0.019	834.3	0.000	0.000	100.0	0.0	0.0	117.0	0.000	0.000	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.3 26.7 38.1 25.7 5.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	0.4000 0.4632 0.5365 0.6213 0.7195 0.8332 0.9649 1.117 1.294 1.499 1.736 2.010 2.328 2.696 3.122 3.615 4.187 4.849 5.615 6.503 7.531 8.721 10.10 11.70 13.54 15.69 18.17 21.04 24.36 28.21 32.67 37.84 43.82 50.75 58.77 68.06 78.82 91.28 105.7 122.4 141.8 164.2 190.1 220.2 255.0 295.3 342.0 396.1 458.7 531.2 615.1 712.4 825.0 955.4 1106 1281 1484 1718 1990 2305 2669 3091 3580 4145 4801 5560 6439 7456 8635 1.000e4
4	Size	DOPC 5EX 1mg'ml 01 04 25 4	01 April 2025 14:01:46	25.0	1093	0.323	947.4	0.000	0.000	100.0	0.0	0.0	144.5	0.000	0.000	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.2 28.1 34.8 22.6 5.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	0.4000 0.4632 0.5365 0.6213 0.7195 0.8332 0.9649 1.117 1.294 1.499 1.736 2.010 2.328 2.696 3.122 3.615 4.187 4.849 5.615 6.503 7.531 8.721 10.10 11.70 13.54 15.69 18.17 21.04 24.36 28.21 32.67 37.84 43.82 50.75 58.77 68.06 78.82 91.28 105.7 122.4 141.8 164.2 190.1 220.2 255.0 295.3 342.0 396.1 458.7 531.2 615.1 712.4 825.0 955.4 1106 1281 1484 1718 1990 2305 2669 3091 3580 4145 4801 5560 6439 7456 8635 1.000e4
5	Size	DOPC 5EX 1mg'ml 01 04 25 5	01 April 2025 14:04:19	25.0	1177	0.376	887.8	0.000	0.000	100.0	0.0	0.0	125.3	0.000	0.000	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.1 18.4 34.4 32.1 14.9 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	0.4000 0.4632 0.5365 0.6213 0.7195 0.8332 0.9649 1.117 1.294 1.499 1.736 2.010 2.328 2.696 3.122 3.615 4.187 4.849 5.615 6.503 7.531 8.721 10.10 11.70 13.54 15.69 18.17 21.04 24.36 28.21 32.67 37.84 43.82 50.75 58.77 68.06 78.82 91.28 105.7 122.4 141.8 164.2 190.1 220.2 255.0 295.3 342.0 396.1 458.7 531.2 615.1 712.4 825.0 955.4 1106 1281 1484 1718 1990 2305 2669 3091 3580 4145 4801 5560 6439 7456 8635 1.000e4
6	Size	DOPC 11EX 1mg'ml 01 04 25 1	01 April 2025 14:14:23	25.0	559.4	0.313	520.2	0.000	0.000	100.0	0.0	0.0	85.19	0.000	0.000	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13.5 28.6 31.4 20.4 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	0.4000 0.4632 0.5365 0.6213 0.7195 0.8332 0.9649 1.117 1.294 1.499 1.736 2.010 2.328 2.696 3.122 3.615 4.187 4.849 5.615 6.503 7.531 8.721 10.10 11.70 13.54 15.69 18.17 21.04 24.36 28.21 32.67 37.84 43.82 50.75 58.77 68.06 78.82 91.28 105.7 122.4 141.8 164.2 190.1 220.2 255.0 295.3 342.0 396.1 458.7 531.2 615.1 712.4 825.0 955.4 1106 1281 1484 1718 1990 2305 2669 3091 3580 4145 4801 5560 6439 7456 8635 1.000e4
7	Size	DOPC 11EX 1mg'ml 01 04 25 2	01 April 2025 14:17:06	25.0	598.8	0.173	512.7	0.000	0.000	100.0	0.0	0.0	84.17	0.000	0.000	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5 15.2 29.7 30.9 18.9 4.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	0.4000 0.4632 0.5365 0.6213 0.7195 0.8332 0.9649 1.117 1.294 1.499 1.736 2.010 2.328 2.696 3.122 3.615 4.187 4.849 5.615 6.503 7.531 8.721 10.10 11.70 13.54 15.69 18.17 21.04 24.36 28.21 32.67 37.84 43.82 50.75 58.77 68.06 78.82 91.28 105.7 122.4 141.8 164.2 190.1 220.2 255.0 295.3 342.0 396.1 458.7 531.2 615.1 712.4 825.0 955.4 1106 1281 1484 1718 1990 2305 2669 3091 3580 4145 4801 5560 6439 7456 8635 1.000e4
8	Size	DOPC 11EX 1mg'ml 01 04 25 3	01 April 2025 14:19:48	25.0	581.6	0.210	565.1	0.000	0.000	100.0	0.0	0.0	109.5	0.000	0.000	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 20.6 27.2 24.4 14.7 4.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	0.4000 0.4632 0.5365 0.6213 0.7195 0.8332 0.9649 1.117 1.294 1.499 1.736 2.010 2.328 2.696 3.122 3.615 4.187 4.849 5.615 6.503 7.531 8.721 10.10 11.70 13.54 15.69 18.17 21.04 24.36 28.21 32.67 37.84 43.82 50.75 58.77 68.06 78.82 91.28 105.7 122.4 141.8 164.2 190.1 220.2 255.0 295.3 342.0 396.1 458.7 531.2 615.1 712.4 825.0 955.4 1106 1281 1484 1718 1990 2305 2669 3091 3580 4145 4801 5560 6439 7456 8635 1.000e4
9	Size	DOPC 11EX 1mg'ml 01 04 25 4	01 April 2025 14:22:31	25.0	563.6	0.119	528.2	0.000	0.000	100.0	0.0	0.0	93.57	0.000	0.000	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.1 12.9 25.7 29.3 21.8 9.0 0.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	0.4000 0.4632 0.5365 0.6213 0.7195 0.8332 0.9649 1.117 1.294 1.499 1.736 2.010 2.328 2.696 3.122 3.615 4.187 4.849 5.615 6.503 7.531 8.721 10.10 11.70 13.54 15.69 18.17 21.04 24.36 28.21 32.67 37.84 43.82 50.75 58.77 68.06 78.82 91.28 105.7 122.4 141.8 164.2 190.1 220.2 255.0 295.3 342.0 396.1 458.7 531.2 615.1 712.4 825.0 955.4 1106 1281 1484 1718 1990 2305 2669 3091 3580 4145 4801 5560 6439 7456 8635 1.000e4
