Record	Type	Sample Name	Measurement Date and Time	T	ZP	Mob	Cond
 		 	 	Â°C	mV	Âµmcm/Vs	mS/cm
6	Zeta	DOPC:PI 31EX  1C 22 10 2024 1	24 October 2024 12:40:28	25.0	-14.0	-1.115	13.5
7	Zeta	DOPC:PI 31EX  1C 22 10 2024 2	24 October 2024 12:43:11	25.0	-15.1	-1.198	13.7
8	Zeta	DOPC:PI 31EX  1C 22 10 2024 3	24 October 2024 12:43:57	25.0	-17.8	-1.417	14.1
9	Zeta	DOPC:PI 31EX  1C 22 10 2024 4	24 October 2024 12:44:27	25.0	-16.8	-1.340	14.1
10	Zeta	DOPC:PI 31EX  1C 22 10 2024 5	24 October 2024 12:44:57	25.0	-16.1	-1.277	14.2
21	Zeta	DOPC:PI 31EX 1.5C 1mg/ml 24 10 24 1	24 October 2024 13:28:42	25.0	-14.0	-1.111	19.4
22	Zeta	DOPC:PI 31EX 1.5C 1mg/ml 24 10 24 2	24 October 2024 13:31:23	25.0	-10.8	-0.8597	20.2
23	Zeta	DOPC:PI 31EX 1.5C 1mg/ml 24 10 24 3	24 October 2024 13:31:52	25.0	-12.9	-1.028	20.7
24	Zeta	DOPC:PI 31EX 1.5C 1mg/ml 24 10 24 4	24 October 2024 13:32:30	25.0	-12.2	-0.9728	21.3
25	Zeta	DOPC:PI 31EX 1.5C 1mg/ml 24 10 24 5	24 October 2024 13:33:41	25.0	-9.75	-0.7752	22.1
31	Zeta	DOPC:PI 31EX 2C 1mg/ml 24 10 24 1	24 October 2024 15:20:07	25.0	-5.72	-0.4548	30.3
32	Zeta	DOPC:PI 31EX 2C 1mg/ml 24 10 24 2	24 October 2024 15:24:44	25.0	-9.47	-0.7531	30.6
33	Zeta	DOPC:PI 31EX 2C 1mg/ml 24 10 24 3	24 October 2024 15:27:11	25.0	-7.35	-0.5846	30.7
34	Zeta	DOPC:PI 31EX 2C 1mg/ml 24 10 24 4	24 October 2024 15:29:39	25.0	-10.2	-0.8085	30.8
35	Zeta	DOPC:PI 31EX 2C 1mg/ml 24 10 24 5	24 October 2024 15:32:06	25.0	-9.23	-0.7340	30.8

Record	Type	Sample Name	Measurement Date and Time	T	ZP	Mob	Cond
 		 	 	Â°C	mV	Âµmcm/Vs	mS/cm
6	Zeta	DOPC:PI 31EX 0.25C 1mg/ml 29 10 24 1	29 October 2024 16:05:41	25.0	-31.7	-2.522	3.72
7	Zeta	DOPC:PI 31EX 0.25C 1mg/ml 29 10 24 2	29 October 2024 16:08:42	25.0	-32.3	-2.566	4.25
8	Zeta	DOPC:PI 31EX 0.25C 1mg/ml 29 10 24 3	29 October 2024 16:09:37	25.0	-31.5	-2.506	4.50
14	Zeta	DOPCpPI 31EX 0.5C 1mg/ml 29 10 24 1	29 October 2024 16:45:58	25.0	-20.9	-1.665	6.45
15	Zeta	DOPCpPI 31EX 0.5C 1mg/ml 29 10 24 2	29 October 2024 16:49:15	25.0	-20.8	-1.654	6.67
16	Zeta	DOPCpPI 31EX 0.5C 1mg/ml 29 10 24 3	29 October 2024 16:49:45	25.0	-21.1	-1.681	6.70
22	Zeta	DOPC:PI 31EX 3C 1mg/ml 29 10 24 1	29 October 2024 17:20:48	25.0	-13.9	-1.107	34.0
23	Zeta	DOPC:PI 31EX 3C 1mg/ml 29 10 24 2	29 October 2024 17:25:26	25.0	-0.430	-0.03421	34.3
24	Zeta	DOPC:PI 31EX 3C 1mg/ml 29 10 24 3	29 October 2024 17:27:53	25.0	-8.80	-0.6996	34.3

Record	Type	Sample Name	Measurement Date and Time	T	ZP	Mob	Cond
 		 	 	Â°C	mV	Âµmcm/Vs	mS/cm
6	Zeta	DOPC:PI 9:1 Surfactant(C12E6):Lipid 1:1 31EX 100uM 05 11 24 1	05 November 2024 11:11:39	25.0	-11.3	-0.8971	12.7
7	Zeta	DOPC:PI 9:1 Surfactant(C12E6):Lipid 1:1 31EX 100uM 05 11 24 2	05 November 2024 11:14:21	25.0	-12.2	-0.9691	13.1
8	Zeta	DOPC:PI 9:1 Surfactant(C12E6):Lipid 1:1 31EX 100uM 05 11 24 3	05 November 2024 11:15:09	25.0	-16.0	-1.271	13.6
19	Zeta	DOPC:PI 9:1 Surfactant(C12E6):Lipid 1:1 31EX 50uM 05 11 24 1	05 November 2024 12:24:08	25.0	-8.05	-0.6402	13.1
20	Zeta	DOPC:PI 9:1 Surfactant(C12E6):Lipid 1:1 31EX 50uM 05 11 24 2	05 November 2024 12:26:49	25.0	-8.46	-0.6728	13.5
21	Zeta	DOPC:PI 9:1 Surfactant(C12E6):Lipid 1:1 31EX 50uM 05 11 24 3	05 November 2024 12:27:35	25.0	-9.25	-0.7359	14.0
27	Zeta	DOPC:PI 9:1 Surfactant(C12E6):Lipid 1:1 31EX 10uM 05 11 24 1	05 November 2024 14:53:23	25.0	-4.36	-0.3466	13.2
28	Zeta	DOPC:PI 9:1 Surfactant(C12E6):Lipid 1:1 31EX 10uM 05 11 24 2	05 November 2024 14:56:56	25.0	-4.43	-0.3522	14.3
29	Zeta	DOPC:PI 9:1 Surfactant(C12E6):Lipid 1:1 31EX 10uM 05 11 24 3	05 November 2024 14:59:23	25.0	-6.76	-0.5378	14.9
35	Zeta	DOPC:PI 9:1 Surfactant(C12E6):Lipid 1:1 31EX 5uM 05 11 24 1	05 November 2024 15:35:09	25.0	-5.78	-0.4597	13.1
36	Zeta	DOPC:PI 9:1 Surfactant(C12E6):Lipid 1:1 31EX 5uM 05 11 24 2	05 November 2024 15:37:50	25.0	-6.67	-0.5304	13.5
37	Zeta	DOPC:PI 9:1 Surfactant(C12E6):Lipid 1:1 31EX 5uM 05 11 24 3	05 November 2024 15:38:54	25.0	-5.81	-0.4624	14.3
